forecast_lag_min,top_percent,top_percent_label,channel_name,channel_short_name,importance_total,importance_share_total,importance_mag,importance_phase,importance_share_mag,importance_share_phase,importance_total_norm_by_window_feature_count,importance_share_total_norm_by_window_feature_count,importance_mag_norm_by_window_feature_count,importance_phase_norm_by_window_feature_count,importance_share_mag_norm_by_window_feature_count,importance_share_phase_norm_by_window_feature_count,feature_count_total,feature_count_mag,feature_count_phase,unmatched_feature_count,val_css,test_css
15,0.5,50%,p3_flux_ic,p3,0.8594921337352034,0.8594921337352034,0.8331554069554763,0.026336726779727794,0.9190308920387203,0.281853028047418,0.004547770823514557,0.8485343897898745,0.004418537748338401,0.0001292330751761584,0.9168238126362942,0.23924828187162792,850,504,346,0,0.7386363636363636,0.8333333333333334
15,0.5,50%,p5_flux_ic,p5,0.0372879141544879,0.0372879141544879,0.016519714316294308,0.020768199838193578,0.018222444045352164,0.22225920709305613,0.00023732866961119023,0.044281373372404155,9.857478521654964e-05,0.00013875388439464053,0.020453759944910915,0.256874088921754,677,389,288,0,0.7386363636363636,0.8333333333333334
15,0.5,50%,p7_flux_ic,p7,0.051647385283314334,0.051647385283314334,0.022314789162819336,0.02933259612049504,0.0246148322614892,0.313914523478947,0.0002846475164873508,0.05311024149654455,0.00011489729727768425,0.00016975021920966673,0.023840597082450114,0.31425738525440094,678,321,357,0,0.7386363636363636,0.8333333333333334
15,0.5,50%,long,long_xray,0.051572566826993876,0.051572566826993876,0.03456874191631927,0.017003824910674613,0.03813183165443824,0.1819732413805787,0.0002898128128718013,0.05407399534117571,0.0001873869686822618,0.00010242584418953944,0.038881830336344896,0.18962024395221713,719,457,262,0,0.7386363636363636,0.8333333333333334
15,1.0,100%,p3_flux_ic,p3,0.848159168442742,0.848159168442742,0.8164302052113174,0.03172896323142481,0.9108589836695155,0.3060572388390771,0.00232401171545357,0.8484799474264909,0.0022370272645518222,8.698445090174786e-05,0.9111027839523786,0.3065711075848296,1462,731,731,0,0.7078651685393258,0.8131868131868132
15,1.0,100%,p5_flux_ic,p5,0.05062247519667201,0.05062247519667201,0.022922408264875765,0.027700066931796215,0.025573626945855448,0.26719454836792894,0.00013848193210943324,0.05055875652193038,6.272081099730365e-05,7.576112111212975e-05,0.025545109090497866,0.2670152029521788,1462,731,731,0,0.7078651685393258,0.8131868131868132
15,1.0,100%,p7_flux_ic,p7,0.05116260752277253,0.05116260752277253,0.024992530431310785,0.02617007709146178,0.02788318061076755,0.2524362827867573,0.00013976641457901661,0.051027711824958896,6.820526832856719e-05,7.15611462504495e-05,0.02777883436607395,0.2522126614424538,1462,731,731,0,0.7078651685393258,0.8131868131868132
15,1.0,100%,long,long_xray,0.05005574883781325,0.05005574883781325,0.031984825768175934,0.01807092306963732,0.035684208773861525,0.17431193000623665,0.0001367695666694645,0.04993358422661944,8.734292340793786e-05,4.942664326152663e-05,0.03557327259104941,0.1742010280205378,1462,731,731,0,0.7078651685393258,0.8131868131868132
30,0.05,5%,p3_flux_ic,p3,0.826673761201648,0.826673761201648,0.8133509578057208,0.013322803395927259,0.8384442123432068,0.44515658113674983,0.01604452286316477,0.4344037592320383,0.01573126780502031,0.0003132550581444616,0.48333211783382707,0.07140443581454237,200,193,7,0,0.6896551724137931,0.7446808510638298
30,0.05,5%,p5_flux_ic,p5,0.07103071347123943,0.07103071347123943,0.06136828153900985,0.009662431932229603,0.06326159695765882,0.322852108268203,0.00759685857597435,0.20568414230215779,0.005959280574721106,0.0016375780012532451,0.18309469628549238,0.3732751642524795,36,30,6,0,0.6896551724137931,0.7446808510638298
